Downloaded from: https://gender-pay-gap.service.gov.uk/,,,,,,,,,,,,,,,,,,,,,,,,
Correct as of: 9th February 2020,,,,,,,,,,,,,,,,,,,,,,,,
EmployerName,Address,CompanyNumber,SicCodes,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,CompanyLinkToGPGInfo,ResponsiblePerson,EmployerSize,CurrentName,SubmittedAfterTheDeadline,DueDate,DateSubmitted
NEOVIA LOGISTICS SERVICES (U.K.) LIMITED,"Peckleton Lane,
Desford,
Leicester,
LE9 9BZ",2136514,52103,4.5,6.1,21.2,27.2,71,54,64,36,62,38,75,25,71,29,,Pat Olney (Chief Executive Officer),1000 to 4999,NEOVIA LOGISTICS SERVICES (U.K.) LIMITED,FALSE,05/04/2020 00:00,04/07/2019 14:37
Net Academies Trust,"Latton Green Primary Academy,
Riddings Lane,
Harlow,
England,
CM18 7HT",8221088,"1,
85600",27.5,53.7,nan,,0,0,4.1,95.9,5.3,94.7,22.7,77.3,20,80,https://www.netacademies.net/Governance/,None,250 to 499,NET ACADEMIES TRUST,FALSE,31/03/2020 00:00,23/10/2019 14:00
NETWORK RAIL INFRASTRUCTURE LIMITED,"1 Eversholt Street,
London,
NW1 2DN",2904587,"41100,
49100,
49200,
68100",7.8,11.6,-14.7,-5.8,99.4,99.5,75,25,84.3,15.7,85,15,85.9,14.1,https://www.networkrail.co.uk/who-we-are/diversity-and-inclusion/gender-pay-gap-report,Ian Turner (Head of Reward & Benefits),"20,000 or more",NETWORK RAIL INFRASTRUCTURE LIMITED,FALSE,05/04/2020 00:00,23/01/2020 09:26
NEW ANGLIA LOCAL ENTERPRISE PARTNERSHIP LIMITED,"Mills & Reeve Llp 1 St James Court,
Whitefriars,
Norwich,
Norfolk,
NR3 1RU",7685830,82990,1.1,-5.5,nan,,0,0,38,62,54,46,38,62,38,62,https://newanglia.co.uk/gender-pay-gap-report/,Mark Jeffries (Chair of Remuneration Committee),Less than 250,NEW ANGLIA LOCAL ENTERPRISE PARTNERSHIP LIMITED,FALSE,05/04/2020 00:00,19/12/2019 11:05
NEW BEGINNINGS (NORTH EAST) LIMITED,"1 The Meadows,
Newcastle Upon Tyne,
NE3 3NA",3086013,88100,0,0,0,0,100,100,41,59,23,77,33,67,28,72,,Sandie Smith (Company Secretary),250 to 499,NEW BEGINNINGS (NORTH EAST) LIMITED,FALSE,05/04/2020 00:00,04/12/2019 09:54
NEW BRIDGE MULTI ACADEMY TRUST,"New Bridge School Roman Road,
Hollinwood,
Oldham,
Lancashire,
OL8 3PH",8131158,"85590,
85600",25.6,21.7,nan,,0,0,14.9,85.1,18.4,81.6,26.3,73.7,38,62,http://newbridgeschool.net/,None,250 to 499,NEW BRIDGE MULTI ACADEMY TRUST,FALSE,31/03/2020 00:00,28/01/2020 08:45
New College Stamford,"Drift Road,
Stamford,
Lincolnshire,
PE9 1XA",,"1,
85320",7.4,33.8,nan,,0,0,23.1,76.9,24.6,75.4,33.9,66.1,46.1,53.9,https://www.stamford.ac.uk/about/safeguarding-send-equality-diversity,None,250 to 499,New College Stamford,FALSE,31/03/2020 00:00,16/10/2019 13:34
Newcastle City Council,"Civic Centre,
Newcastle Upon Tyne,
Tyne And Wear,
United Kingdom,
NE1 8QH",,"1,
84110",3.6,6,nan,,0,0,30.6,69.4,48.2,51.8,51,49,44.5,55.5,,None,"5000 to 19,999",Newcastle City Council,FALSE,31/03/2020 00:00,23/07/2019 10:42
Newcastle-under-lyme Borough Council,"Castle House,
Barracks Road,
Newcastle-under-Lyme,
ST5 1BL",,"1,
84110",2,12,nan,,0,0,55,45,52,48,65,35,56,44,,None,500 to 999,Newcastle-under-lyme Borough Council,FALSE,31/03/2020 00:00,08/01/2020 11:44
NEWPORT WAFER FAB LIMITED,"Cardiff Road,
Newport,
NP10 8YJ",4338966,26110,23.7,15.6,31.1,7.6,90.7,91.2,57,43,68.5,31.5,72,28,92.4,7.6,https://www.newportwaferfab.co.uk/ckfinder/userfiles/files/newport%20wafer%20fab%20gender%20pay%20gap%20report%20july%202019.pdf,Simon Argent (HR Director),250 to 499,NEWPORT WAFER FAB LIMITED,FALSE,05/04/2020 00:00,23/07/2019 13:31
Newvic College,"Prince Regent Lane,
London,
London,
United Kingdom,
E13 8SG",,"1,
85310",1,0.4,nan,,0,0,49,51,29,71,36,64,45,55,,None,250 to 499,Newvic College,FALSE,31/03/2020 00:00,24/01/2020 12:16
NHS Kernow CCG,"Sedgemoor Centre,
Priory Road,
St Austell,
PL25 5AS",,"1,
86210",18.3,13.4,nan,,0,0,15.7,84.3,20.3,79.7,18.7,81.3,29.5,70.5,https://www.kernowccg.nhs.uk/get-info/equality-and-diversity/,None,250 to 499,NHS Kernow CCG,FALSE,31/03/2020 00:00,29/08/2019 16:50
NIFTYLIFT LIMITED,"Niftylift Limited Chalkdell Drive,
Shenley Wood,
Milton Keynes,
MK5 6GF",1264184,28990,-1.4,-4.6,89.6,79.2,95.6,87.8,96.3,3.7,91.2,8.8,89,11,93.3,6.7,https://www.niftylift.com/uk,Kerry Lyall (HR/Payroll Manager),500 to 999,NIFTYLIFT LIMITED,FALSE,05/04/2020 00:00,12/04/2019 15:30
Nmb-Minebea UK Ltd,"Doddington Road,
Lincoln,
LN6 3RA",2194706,25990,2.7,-11,11.4,0,95.9,98.1,85,15,89.9,10.1,75.9,24.1,82.5,17.5,,Alison Robinson (Finance & Administration Manager),250 to 499,NMB-MINEBEA UK LTD,FALSE,05/04/2020 00:00,23/05/2019 11:10
North East Ambulance Service NHS Foundation Trust,"Bernicia House,
Newburn,
Newcastle,
NE15 8NY",,"1,
86210",2.1,0,nan,,0,0,51,49,60.2,39.8,55.1,44.9,61.7,38.3,https://www.neas.nhs.uk/media/161247/equality_annual_report_18-19_final.pdf,None,1000 to 4999,North East Ambulance Service NHS Foundation Trust,FALSE,31/03/2020 00:00,10/12/2019 16:16
North East Lincolnshire Council,"North East Lincolnshire Council,
Municipal Offices,
Grimsby,
United Kingdom,
DN31 1HU",,"1,
84300",3.6,-9,62.8,3.7,0.2,0.1,17,83,27,73,32,68,31,69,https://www.nelincs.gov.uk/council-information-partnerships/council-workforce/#1456418973007-ec076df3-f159,None,1000 to 4999,North East Lincolnshire Council,FALSE,31/03/2020 00:00,04/02/2020 10:22
NORTH GROUP SERVICES LIMITED,"100 The Quayside,
Newcastle Upon Tyne,
United Kingdom,
NE1 3DU",3922841,78300,54.3,48.8,75.4,60.1,100,99,18,82,44,56,70,30,76,24,https://www.nepia.com/gender-pay-gap/,Dawn Robinson (Global Director (People)),250 to 499,NORTH GROUP SERVICES LIMITED,FALSE,05/04/2020 00:00,20/01/2020 14:10
North Kesteven District Council,"Council Offices,
Kesteven Street,
Sleaford,
NG34 7EF",,"1,
84110",10.3,-4,nan,,0,0,52,48,41,59,32,68,55,45,https://www.n-kesteven.gov.uk/your-council/facts-and-figures-about-the-council/equality-and-diversity/gender-pay-gap-information/,None,250 to 499,North Kesteven District Council,FALSE,31/03/2020 00:00,06/01/2020 09:45
NORTH LANARKSHIRE LEISURE LIMITED,"1 Ardgoil Drive,
Cumbernauld,
Glasgow,
G68 9NE",SC303391,93120,7,6,nan,,0,0,38.8,61.2,56.4,43.6,55,45,62.4,37.6,https://www.nlleisure.co.uk/,Emma Walker (Managing Director),500 to 999,NORTH LANARKSHIRE LEISURE LIMITED,FALSE,05/04/2020 00:00,17/06/2019 15:46
North Norfolk District Council,"Council Offices,
Holt Road,
Cromer,
NR27 9EN",,"1,
84110",12.3,9.9,nan,,0,0,37,63,38,62,32,68,52,48,,None,250 to 499,North Norfolk District Council,FALSE,31/03/2020 00:00,31/01/2020 18:04
North Tyneside Council,"Quadrant,
The Silverlink North,
Cobalt Business Park,
North Shields,
Tyne And Wear,
United Kingdom,
NE27 0BY",,"1,
84110",7.6,2.2,nan,,0,0,15,85,44,56,29,71,33,67,https://my.northtyneside.gov.uk/category/1270/staffing-and-equality,None,1000 to 4999,North Tyneside Council,FALSE,31/03/2020 00:00,01/04/2019 17:18
Northampton General Hospital Nhs Trust,"Cliftonville,
Northampton,
Northamptonshire,
United Kingdom,
NN1 5BD",,"1,
86210",30.1,13.3,82.1,80.1,12,16.7,31.9,68.1,14.5,85.5,17.1,82.9,19.8,80.2,https://www.northamptongeneral.nhs.uk/About/Equality-and-diversity-information/Equality-Diversity-Inclusion.aspx,None,"5000 to 19,999",Northampton General Hospital Nhs Trust,FALSE,31/03/2020 00:00,07/02/2020 16:22
NORTHAMPTON PARTNERSHIP HOMES LIMITED,"The Guildhall,
St. Giles Square,
Northampton,
Northamptonshire,
NN1 1DE",9019453,68320,-2,0,nan,,0,0,75.4,24.6,62.3,37.7,32.8,67.2,55.7,44.3,https://www.nph.org.uk/sites/default/files/Gender%20Pay%20Gap%20Report%202019.pdf,Mike Kay (Chief Executive),250 to 499,NORTHAMPTON PARTNERSHIP HOMES LIMITED,FALSE,05/04/2020 00:00,30/01/2020 12:10
NORTHAMPTON RUGBY FOOTBALL CLUB LIMITED,"Franklins Gardens,
Weedon Road,
Northampton,
Northamptonshire,
NN5 5BG",3139409,93110,65,19,51,56,8,11,45,55,86,14,63,37,94,6,,tim stobbs (Finance Manager),250 to 499,NORTHAMPTON RUGBY FOOTBALL CLUB LIMITED,FALSE,05/04/2020 00:00,30/01/2020 11:03
Northeast Derbyshire Council,"2013 Mill Lane,
Wingerworth,
Chesterfield,
Derbyshire,
United Kingdom,
S42 6NG",,"1,
84110",7.7,8.9,nan,,0,0,50.9,49.1,52.9,47.1,50.4,49.6,48.4,51.6,https://www.ne-derbyshire.gov.uk/component/edocman/gender-pay-gap-report-2019,None,250 to 499,Northeast Derbyshire Council,FALSE,31/03/2020 00:00,27/01/2020 13:30
NORTHERN AUTOMOTIVE SYSTEMS LIMITED,"Gilwern Park Ty Mawr Road,
Gilwern,
Abergavenny,
Monmouthshire,
Wales,
NP7 0EB",2776653,29320,5,0,19,14,62.7,46.9,76,24,83,17,56,44,73,27,,Aiden Lambe (Finance Director),500 to 999,NORTHERN AUTOMOTIVE SYSTEMS LIMITED,FALSE,05/04/2020 00:00,24/05/2019 13:17
NORTHERN POWERGRID (NORTHEAST) LIMITED,"Lloyds Court,
78 Grey Street,
Newcastle Upon Tyne,
NE1 6AF",2906593,35130,19.6,24.7,-22.4,26.4,99.7,99.1,58,42,84,16,89,11,88,12,https://www.northernpowergrid.com/asset/0/document/5337.pdf,Phil Jones (President and Chief Executive Officer),1000 to 4999,NORTHERN POWERGRID (NORTHEAST) LIMITED,FALSE,05/04/2020 00:00,30/01/2020 12:15
NORTHERN POWERGRID (YORKSHIRE) PLC,"Lloyds Court,
78 Grey Street,
Newcastle Upon Tyne,
NE1 6AF",4112320,35130,14.9,15.6,-34,4.8,99.6,98.7,77,23,88,12,88,12,92,8,https://www.northernpowergrid.com/asset/0/document/5337.pdf,Phil Jones (President and Chief Executive Officer),1000 to 4999,NORTHERN POWERGRID (YORKSHIRE) PLC,FALSE,05/04/2020 00:00,30/01/2020 12:19
NORTON HEALTHCARE LIMITED,"Ridings Point,
Whistler Drive,
Castleford,
England,
England,
WF10 5HX",947980,21200,4.5,7.3,-16.8,8,92,96.4,77,23,85,15,67,33,61,39,https://www.tevauk.com/yourcareer/article-pages/genderpayreporting/,Gillian Blandin-Ellis (HR Director),250 to 499,NORTON HEALTHCARE LIMITED,FALSE,05/04/2020 00:00,30/01/2020 16:28
Norwich University of the Arts,"Francis House,
3 - 7 Redwell St,
Norwich,
NR2 4SN",,"1,
85421",5.6,8.7,nan,,0,0,48.8,51.2,35.4,64.6,57.3,42.7,56.6,43.4,https://www.nua.ac.uk/about-nua/info-publication-scheme/governance/,None,250 to 499,Norwich University of the Arts,FALSE,31/03/2020 00:00,08/01/2020 15:07
Norwood Schools Ltd.,"Broadway House,
80 - 82 The Broadway,
Stanmore,
HA7 4HB",516901,"87200,
88910,
88990",0.2,0,-9.7,0,2,3.3,33.6,66.4,23.3,76.7,30.1,69.9,24.6,75.4,https://www.norwood.org.uk/pages/about/gender-pay-gap-report-april-2019/,Shona McBride (Director of Workforce),500 to 999,NORWOOD SCHOOLS LTD.,FALSE,05/04/2020 00:00,01/11/2019 09:49
NSK EUROPE LIMITED,"Belmont Place,
Belmont Road,
Maidenhead,
Berkshire,
SL6 6TB",2223191,70100,8.4,16.3,36,-4,10,6,75,25,85,15,92,8,85,15,https://www.nskeurope.com/en/company/csr.html,Tina Holmes (HR Director UK),1000 to 4999,NSK EUROPE LIMITED,FALSE,05/04/2020 00:00,02/01/2020 11:14
NUMATIC INTERNATIONAL LIMITED,"Knoll House,
Knoll Road,
Camberley,
Surrey,
GU15 3SY",773331,27510,26.3,8.1,100,100,4.9,0,65.6,34.4,70.1,29.9,76.8,23.2,85.3,14.7,https://www.numatic.co.uk,Stephen Whitlock (Company Secretary),500 to 999,NUMATIC INTERNATIONAL LIMITED,FALSE,05/04/2020 00:00,22/08/2019 15:05
Oakham School,"Chapel Close,
Market Place,
Oakham,
Rutland,
LE15 6DT",6924216,85310,19,30,nan,,0,0,28,72,36,64,39,61,53,47,https://www.oakham.rutland.sch.uk/,neil gorman (Chair of the Trustees),500 to 999,OAKHAM SCHOOL,FALSE,05/04/2020 00:00,22/10/2019 12:33
"Office For Standards In Education, Childrens Services And Skills","Piccadilly Gate,
Store Street,
Manchester,
M1 2WD",,"1,
84110",6.6,0,19.5,7.7,80,80,35.6,64.4,30.9,69.1,22.7,77.3,45.9,54.1,https://www.gov.uk/government/publications/ofsted-gender-pay-gap-report-and-data-2019,None,1000 to 4999,"Office For Standards In Education, Childrens Services And Skills",FALSE,31/03/2020 00:00,23/01/2020 12:26
Office Of Rail and Road,"1 Kemble Street,
London,
London,
WC2B 4AN",,"1,
84110",18.1,23.8,29,15.1,59.5,52.7,39.2,60.8,58.7,41.3,75,25,70,30,https://orr.gov.uk/__data/assets/pdf_file/0016/42361/orr-gender-pay-gap-and-diversity-report-2019.pdf,None,250 to 499,Office Of Rail and Road,FALSE,31/03/2020 00:00,23/01/2020 12:25
Ofgem,"10 South Colannade,
London,
United Kingdom,
E14 4PU",,"1,
84110",5.9,7.8,15.9,19.4,56.2,63.8,57.4,42.6,46.6,53.4,53.4,46.6,62.8,37.2,,None,500 to 999,Ofgem,FALSE,31/03/2020 00:00,13/05/2019 09:02
OLDHAM COMMUNITY LEISURE LIMITED,,IP29372R,,-6,-10,3,3,2,1,47,53,53,47,44,56,45,55,https://oclactive.co.uk/about-us/,Louise Walton (Head of Human Resources),250 to 499,OLDHAM COMMUNITY LEISURE LIMITED,FALSE,05/04/2020 00:00,17/12/2019 14:29
ONE YMCA,"Charter House,
Charter Place,
Watford,
Hertfordshire,
WD17 2RT",4430743,"55900,
85510,
88910,
94990",26,5,nan,,0,0,32,68,22,78,19,81,29,71,,Joe Kennedy (Head of HR),250 to 499,ONE YMCA,FALSE,05/04/2020 00:00,03/12/2019 15:48
ONESAVINGS BANK PLC,"Reliance House,
Sun Pier,
Chatham,
Kent,
ME4 4ET",7312896,64191,43.1,37.6,76.8,73.1,62,67,20,80,33,67,55,45,68,32,http://www.osb.co.uk/corporate-responsibility/2019-gender-pay-gap-report/,Andy Golding (CEO),500 to 999,ONESAVINGS BANK PLC,FALSE,05/04/2020 00:00,01/11/2019 13:21
ONWARD HOMES LIMITED,,IP17186R,,15.8,7.6,nan,,0,0,36.6,63.4,29.5,70.5,37.1,62.9,58.8,41.2,https://www.onward.co.uk/app/uploads/2019/12/Gender-pay-report-2018-19.pdf,Bronwen Rapley (Chief Executive),500 to 999,ONWARD HOMES LIMITED,FALSE,05/04/2020 00:00,17/12/2019 10:32
ORANGEBOX LIMITED,". Parc Nantgarw,
Cardiff,
CF15 7QU",3406086,31010,14.9,12,54.2,13.6,88.4,88.3,66.7,33.3,45.7,54.3,67.6,32.4,75.2,24.8,http://orangebox.com/downloads/gender-pay-gap/Orangebox_Gender_Pay_Gap_2019.pdf,Alison Lewis (Human Resources Manager),250 to 499,ORANGEBOX LIMITED,FALSE,05/04/2020 00:00,05/02/2020 16:09
ORBITAL UMBRELLA LIMITED,"Digital Media Centre,
County Way,
Barnsley,
South Yorkshire,
S70 2JW",7427816,82110,-2.5,21.7,nan,,0,0,89,11,77.5,22.5,94.2,5.8,86.9,13.1,,hayley darby (operations manager),250 to 499,ORBITAL UMBRELLA LIMITED,FALSE,05/04/2020 00:00,13/12/2019 08:15
ORCHID PUBS & DINING LIMITED,"27 Fleet Street,
Birmingham,
B3 1JP",6754332,56101,2.7,2.2,22.1,-34.1,40.4,45.7,43.6,56.4,43.9,56.1,50.3,49.7,50.7,49.3,https://www.mbplc.com/investors/businessconduct/genderpaygapreporting/,Craig Provett (Director of Compensation & Benefits),1000 to 4999,ORCHID PUBS & DINING LIMITED,FALSE,05/04/2020 00:00,30/12/2019 12:41
ORWELL MULTI ACADEMY TRUST,"Orwell Multi Academy Trust Halifax Primary School,
Prince Of Wales Drive,
Ipswich,
United Kingdom,
IP2 8PY",10650092,85200,13.6,25.3,nan,,0,0,9.4,90.6,9.2,90.8,14.1,85.9,12.5,87.5,https://www.omat.org.uk/,None,250 to 499,ORWELL MULTI ACADEMY TRUST,FALSE,31/03/2020 00:00,22/01/2020 09:06
OUTWOOD GRANGE ACADEMIES TRUST,"Potovens Lane,
Outwood,
Wakefield,
West Yorkshire,
WF1 2PF",6995649,"85310,
85320,
85590",25.1,49.6,nan,,0,0,12.8,87.2,17.5,82.5,27.6,72.4,35,65,https://www.outwood.com/finances,None,1000 to 4999,OUTWOOD GRANGE ACADEMIES TRUST,FALSE,31/03/2020 00:00,23/01/2020 11:37
OVE ARUP & PARTNERS INTERNATIONAL LIMITED,"13 Fitzroy Street,
London,
W1T 4BQ",952468,71122,17.8,17.1,38.2,29.4,88,82,53.8,46.2,58.5,41.5,68.3,31.7,75.3,24.7,https://www.arup.com/perspectives/publications/research/section/gender-pay-gap-report-2019?query=gender%20pay,"Dervilla Mitchell (Chair - UK, India, Middle East and Africa Region)","5000 to 19,999",OVE ARUP & PARTNERS INTERNATIONAL LIMITED,FALSE,05/04/2020 00:00,25/11/2019 13:25
OWENS (ROAD SERVICES) LIMITED,"Dafen Industrial Estate,
Dafen,
Llanelli,
Dyfed,
SA14 8QE",1301976,"49410,
52103,
52219,
52290",-9.7,0.1,nan,,0,0,95.1,4.9,89.7,10.3,96.4,3.6,86.1,13.9,,Ian Owen (Operations Director),500 to 999,OWENS (ROAD SERVICES) LIMITED,FALSE,05/04/2020 00:00,15/01/2020 11:16
Oxford Diocesan Schools Trust,"Church House,
Langford Locks,
Kidlington,
Oxfordshire,
OX5 1GF",8143249,"1,
85600",22.5,26.9,nan,,0,0,5,95,6,94,6,94,11,89,https://www.odst.org.uk/_site/data/files/key_mat_info/E12B9892B684C8BBB36A71FE4A84682B.pdf,Anne Davey (Chief Executive Officer),1000 to 4999,OXFORD DIOCESAN SCHOOLS TRUST,FALSE,31/03/2020 00:00,22/10/2019 20:20
OXFORD INSTRUMENTS NANOTECHNOLOGY TOOLS LIMITED,"Tubney Woods,
Abingdon,
Oxon,
OX13 5QX",704320,26511,12.5,16.2,35.1,0,58,54.5,73.6,26.4,75.9,24.1,84.4,15.6,86.5,13.5,https://www.oxinst.com/corporate-content/gender-pay-report,Vicki Potter (Group HR Director),500 to 999,OXFORD INSTRUMENTS NANOTECHNOLOGY TOOLS LIMITED,FALSE,05/04/2020 00:00,05/08/2019 10:25
Oxfordshire County Council,"County Hall,
New Road,
Oxford,
OX1 1ND",,"1,
84110",3.3,1.3,nan,,0,0,26,74,38.6,61.4,37.7,62.3,32.9,67.1,,None,"5000 to 19,999",Oxfordshire County Council,FALSE,31/03/2020 00:00,29/01/2020 12:55
P.N.DALY LIMITED,"Butterworth Hall Works,
Charles Lane Milnrow,
Rochdale,
Lancashire,
OL16 3PA",871763,43999,1,0,45.7,55.1,25.3,11.7,90,10,83,17,88,12,85,15,https://www.pndaly.co.uk/downloads/GENDER-PAY.pdf,FRANK DALY (MANAGING DIRECTOR),500 to 999,P.N.DALY LIMITED,FALSE,05/04/2020 00:00,13/01/2020 09:16
PA COMMUNITY TRUST,"Unity House, 27 Trinity Road,
Birmingham,
England,
B6 6AJ",9718257,85200,1.7,-3.3,nan,,0,0,12.6,87.4,16.8,83.2,14.7,85.3,12.6,87.4,http://www.pact.bham.sch.uk/index.php/information/gender-pay-gap,None,250 to 499,PA COMMUNITY TRUST,FALSE,31/03/2020 00:00,03/02/2020 11:25
PACIFIC CARE LIMITED,"CAMPBELL DALLAS LLP,
Titanium 1 King's Inch Place,
Renfrew,
PA4 8WF",SC174016,86900,8.1,2.2,nan,,0,0,14.3,85.7,13.2,86.8,19.7,80.3,18.4,81.6,,Angela Byers (HR Manager),250 to 499,PACIFIC CARE LIMITED,FALSE,05/04/2020 00:00,06/05/2019 11:19
PAH SPECIALIST CLEANING SERVICES  LTD,"3 Lovat Street,
Largs,
Scotland,
KA30 9NE",SC625943,81222,0,0,0,0,100,100,20,80,50,50,0,100,50,50,,PHIL HALSTEAD (DIRECTOR),Less than 250,PAH SPECIALIST CLEANING SERVICES LTD,FALSE,05/04/2020 00:00,23/10/2019 22:30
Parliamentary and Health Service Ombudsman,"Citygate,
Mosley Street,
Manchester,
M2 3HQ",BPAH7TQL,1,7.6,-0.1,-0.2,0,85,84,48,52,41,59,46,54,43,57,https://www.ombudsman.org.uk/,None,250 to 499,Parliamentary and Health Service Ombudsman,FALSE,31/03/2020 00:00,06/01/2020 13:31
PARTNERS EMPLOYMENT EUROPEAN RECRUITMENT LIMITED,"7 Church Walk,
Trowbridge,
Wiltshire,
BA14 8DX",5492582,78200,-0.9,1.3,100,100,0.5,0,53.9,46.1,60.4,39.6,61.5,38.5,63.7,36.3,http://partnersemployment.co.uk/,Lynda Huxham (Managing Director),500 to 999,PARTNERS EMPLOYMENT EUROPEAN RECRUITMENT LIMITED,FALSE,05/04/2020 00:00,07/02/2020 15:46
PAULTONS PARK LIMITED,"Paultons Park,
Ower Romsey,
Hampshire,
SO51 6AL",2029374,93290,12.6,5.2,67.2,42.1,24.9,15.5,44.2,55.8,39.2,60.8,42.2,57.8,53.8,46.2,,Sara Mancey (HR & Administration Director),500 to 999,PAULTONS PARK LIMITED,FALSE,05/04/2020 00:00,14/01/2020 16:06
PAYDENS LIMITED,"Parkwood,
Sutton Road,
Maidstone,
Kent,
ME15 9NE",574716,47730,14.9,-0.3,79.8,20.8,43.9,43.4,22.9,77.1,24.9,75.1,15.3,84.7,28,72,http://www.paydens.com/images/paydens-ltd-pay-gap-april-2020.pdf,Alexander Pay (Managing Director),1000 to 4999,PAYDENS LIMITED,FALSE,05/04/2020 00:00,30/01/2020 12:23
PAYSTREAM MY MAX 2 LIMITED,"Mansion House, Manchester Road,
Altrincham,
Cheshire,
WA14 4RW",6451955,78200,-36,-36,nan,,0,0,91,9,82,18,80,20,60,40,https://www.paystream.co.uk/media/2749/gender-pay-gap-report-2019.pdf,Andrew Cleal (Operations and Service Director),1000 to 4999,PAYSTREAM MY MAX 2 LIMITED,FALSE,05/04/2020 00:00,03/09/2019 12:30
PAYSTREAM MY MAX 3 LIMITED,"Mansion House,
Manchester Road,
Altrincham,
Cheshire,
WA14 4RW",7708464,78200,-1,1,nan,,0,0,58,42,57,43,62,38,62,38,https://www.paystream.co.uk/media/2749/gender-pay-gap-report-2019.pdf,Andrew Cleal (Operations and Service Director),250 to 499,PAYSTREAM MY MAX 3 LIMITED,FALSE,05/04/2020 00:00,03/09/2019 12:32
PAYSTREAM MY MAX LIMITED,"Mansion House, Manchester Road,
Altrincham,
Greater Manchester,
WA14 4RW",6042225,78200,11,1,nan,,0,0,59,41,57,43,53,47,65,35,https://www.paystream.co.uk/media/2749/gender-pay-gap-report-2019.pdf,Andrew Cleal (Operations and Service Director),"5000 to 19,999",PAYSTREAM MY MAX LIMITED,FALSE,05/04/2020 00:00,03/09/2019 12:33
Peak District National Park Authority,"Aldern House,
Baslow Road,
Bakewell,
DE45 1AE",,1,8.6,9.2,nan,,0,0,31,69,46,54,52,48,60,40,https://www.peakdistrict.gov.uk/looking-after/about-us/open-government/gender-pay-report,None,250 to 499,Peak District National Park Authority,FALSE,31/03/2020 00:00,21/11/2019 13:56
PEKTRON GROUP LIMITED,"Pektron,
Alfreton Road,
Derby,
England,
DE21 4AP",823259,26110,19,29.8,82,5.2,50.9,72.9,39.3,60.7,50,50,64.9,35.1,79,21,,Robert Morgan (Director),250 to 499,PEKTRON GROUP LIMITED,FALSE,05/04/2020 00:00,18/12/2019 13:08
PENDINE PARK CARE ORGANISATION LTD,"Bromfield House Ellice Way,
Wrexham Technology Park,
Wrexham,
Wales,
LL13 7YW",7055392,87100,-7.3,0,nan,,0,0,18.2,81.8,19.4,80.6,18.3,81.7,17.7,82.3,,Mario Kreft (Director),500 to 999,PENDINE PARK CARE ORGANISATION LTD,FALSE,05/04/2020 00:00,16/01/2020 10:42
PENGUIN BOOKS LIMITED,"20 Vauxhall Bridge Road,
London,
England,
SW1V 2SA",861590,58110,21.7,10.6,60.2,17,94.4,91.2,15.4,84.6,26.5,73.5,27,73,33,67,https://www.penguin.co.uk/company/about-us/notices/gender-pay-gap-reports.html,Val Garside (HR Director),500 to 999,PENGUIN BOOKS LIMITED,FALSE,05/04/2020 00:00,25/07/2019 12:05
Peninsula Learning Trust,"Units 15 & 16 St Austell Business Park,
Treverbyn Road, Carclaze,
St Austell,
Cornwall,
England,
PL25 4FD",7565242,"1,
85200,
85310",23.9,33.6,nan,,0,0,7.5,92.5,11.8,88.2,37,63,28.6,71.4,https://peninsulatrust.org/governance/documentation/,None,250 to 499,CORNWALL EDUCATION LEARNING TRUST,FALSE,31/03/2020 00:00,17/07/2019 13:27
PENUMBRA,"Norton Park,
57 Albion Road,
Edinburgh,
EH7 5QY",SC091542,"86900,
87200,
88990,
94990",-2,-1.8,nan,,0,0,26.2,73.8,23.8,76.2,27.4,72.6,18.8,81.2,,Joanne Mayne (Director of Corporate Services),500 to 999,PENUMBRA,FALSE,05/04/2020 00:00,16/01/2020 11:45
PEOPLEPLUS GROUP LIMITED,"19-20 The Triangle,
Ng2 Business Park,
Nottingham,
NG2 1AE",5722765,85590,13.3,9.9,42.3,36,9.2,10.2,24.4,75.6,32.9,67.1,43.7,56.3,44.3,55.7,https://peopleplus.co.uk/work-for-us/,Simon Rouse (Managing Director),1000 to 4999,PEOPLEPLUS GROUP LIMITED,FALSE,05/04/2020 00:00,22/07/2019 19:02
PERRYS EAST MIDLANDS LIMITED,"PERRYS,
Suite 1, 500 Pavilion Drive,
Brackmills,
Northampton,
England,
NN4 7YJ",2086705,"45111,
45112,
45200,
45320",31.2,25.8,68.8,42.3,81.7,81.3,63.3,36.7,66.3,33.7,82.2,17.8,92.1,7.9,https://www.perrys.co.uk,Nicky Holdcroft (Group HR Director),1000 to 4999,PERRYS EAST MIDLANDS LIMITED,FALSE,05/04/2020 00:00,04/02/2020 15:44
PERRYS MOTOR SALES LIMITED,"Suite 1,
500 Pavilion Drive Northampton,
Business Park Brackmills,
Northampton,
NN4 7YJ",972286,"45111,
45112,
45200,
45320",22.1,20.3,37.9,54.4,79.4,46.9,63.5,36.5,63.2,36.8,78,22,86.6,13.4,http://www.perrys.co.uk,Nicky Holdcroft (Group HR Director),1000 to 4999,PERRYS MOTOR SALES LIMITED,FALSE,05/04/2020 00:00,04/02/2020 15:46
